Customer_ID,Name,DOB,Card_Opening_Year,Credit_Score,Balance,Transactions_Last_Month,Is_Anomaly
1001,Riya Sharma,3/22/1995,2015,720,45000,23,0
1002,Aarav Patel,10/10/1980,2005,650,23000,18,0
1003,Sneha Kedia,7/15/2002,1998,700,30000,25,1
1004,Rahul Das,12/9/1990,2020,680,120000,10,0
1005,Priya Nair,5/1/1988,2030,710,98000,15,1
1006,Karan Mehta,11/19/1999,2017,590,4000,45,0
1007,Neha Verma,6/1/2001,2000,630,25000,5,1
1008,Arjun Singh,2/28/1975,2010,810,150000,8,0
1009,Meera Iyer,9/13/1985,2007,765,87000,12,0
1010,Rohit Gupta,4/5/2004,2003,600,5000,60,1
,,,,,,,
